"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"570",-3.51210651210651,-3.51120351120351,-3.51251151251151,-3.51261051261051,-3.51270051270051,-3.51236751236751,-3.51226851226851,-3.51070551070551,-3.51218151218151,-3.51122751122751
"571",-3.51165051165051,-3.51096051096051,-3.51202551202551,-3.51202851202851,-3.51233151233151,-3.51177951177951,-3.51185151185151,-3.51069051069051,-3.51147951147951,-3.51070851070851
"572",-3.51151551151551,-3.51098451098451,-3.51161751161751,-3.51191451191451,-3.51189351189351,-3.51167451167451,-3.51206751206751,-3.51059151059151,-3.51124551124551,-3.51072051072051
"573",-3.51138351138351,-3.51096651096651,-3.51137451137451,-3.51154251154251,-3.51174651174651,-3.51135951135951,-3.51205851205851,-3.51058551058551,-3.51112251112251,-3.51072651072651
"574",-3.51144651144651,-3.51099051099051,-3.51159651159651,-3.51170751170751,-3.51176151176151,-3.51130551130551,-3.51213051213051,-3.51055551055551,-3.51097851097851,-3.51084651084651
"575",-3.51168651168651,-3.51130251130251,-3.51163851163851,-3.51206151206151,-3.51189051189051,-3.51155151155151,-3.51237651237651,-3.51087051087051,-3.51125451125451,-3.51122151122151
"576",-3.51179751179751,-3.51131451131451,-3.51185451185451,-3.51215751215751,-3.51207351207351,-3.51180051180051,-3.51220851220851,-3.51105951105951,-3.51141951141951,-3.51141951141951
"577",-3.51157551157551,-3.51122751122751,-3.51175851175851,-3.51192051192051,-3.51177351177351,-3.51153051153051,-3.51174351174351,-3.51104751104751,-3.51108051108051,-3.51125751125751
"578",-3.51112551112551,-3.51086451086451,-3.51139251139251,-3.51156051156051,-3.51136251136251,-3.51114051114051,-3.51131751131751,-3.51059151059151,-3.51016851016851,-3.51094551094551
"579",-3.51066951066951,-3.51070251070251,-3.51078351078351,-3.51112251112251,-3.51089151089151,-3.51055251055251,-3.51065151065151,-3.51038151038151,-3.50969450969451,-3.51048651048651
"580",-3.51038151038151,-3.51046251046251,-3.51049851049851,-3.51068751068751,-3.51052851052851,-3.51014451014451,-3.51029751029751,-3.51019851019851,-3.50951450951451,-3.51040551040551
"581",-3.51035151035151,-3.51043251043251,-3.51023151023151,-3.51079251079251,-3.51048651048651,-3.51020151020151,-3.51016551016551,-3.51031851031851,-3.50960750960751,-3.51035451035451
"582",-3.51071751071751,-3.51060951060951,-3.51080751080751,-3.51123651123651,-3.51107751107751,-3.51080151080151,-3.51045051045051,-3.51049251049251,-3.50997950997951,-3.51054051054051
"583",-3.51089151089151,-3.51079551079551,-3.51087651087651,-3.51126351126351,-3.51125451125451,-3.51090951090951,-3.51075951075951,-3.51074151074151,-3.51025551025551,-3.51067251067251
"584",-3.51049551049551,-3.51040251040251,-3.51049251049251,-3.51096651096651,-3.51091551091551,-3.51074451074451,-3.51034851034851,-3.51040251040251,-3.50984750984751,-3.51034851034851
"585",-3.51049551049551,-3.51060351060351,-3.51023751023751,-3.51098751098751,-3.51089451089451,-3.51068751068751,-3.51028251028251,-3.51052851052851,-3.50977850977851,-3.51054051054051
"586",-3.51033051033051,-3.51069051069051,-3.51006051006051,-3.51076251076251,-3.51054951054951,-3.51037251037251,-3.51012951012951,-3.51079551079551,-3.50937950937951,-3.51053751053751
"587",-3.51054951054951,-3.51069051069051,-3.51032151032151,-3.51114351114351,-3.51085251085251,-3.51070251070251,-3.51042051042051,-3.51083151083151,-3.50970350970351,-3.51052851052851
"588",-3.51025251025251,-3.51061251061251,-3.51012951012951,-3.51084951084951,-3.51050751050751,-3.51024351024351,-3.50998550998551,-3.51070851070851,-3.50898350898351,-3.51042651042651
"589",-3.51017451017451,-3.51057951057951,-3.50999150999151,-3.51082251082251,-3.51034251034251,-3.51017751017751,-3.51014751014751,-3.51075951075951,-3.50877650877651,-3.51024351024351
"590",-3.50970050970051,-3.51022851022851,-3.50943050943051,-3.51021351021351,-3.50985650985651,-3.50987750987751,-3.50943050943051,-3.51069651069651,-3.50837150837151,-3.50995250995251
"591",-3.50968850968851,-3.51021651021651,-3.50958650958651,-3.51023751023751,-3.50967950967951,-3.50998250998251,-3.50926850926851,-3.51078351078351,-3.50839250839251,-3.50994650994651
"592",-3.50982050982051,-3.51018051018051,-3.50970650970651,-3.51028551028551,-3.50969450969451,-3.51014451014451,-3.50953550953551,-3.51095451095451,-3.50856350856351,-3.51000951000951
"593",-3.51012951012951,-3.51040551040551,-3.50989850989851,-3.51055851055851,-3.51003651003651,-3.51035751035751,-3.51000951000951,-3.51128451128451,-3.50902250902251,-3.51038151038151
"594",-3.51011451011451,-3.51045951045951,-3.50968850968851,-3.51048651048651,-3.51005151005151,-3.51042051042051,-3.50993150993151,-3.51149451149451,-3.50904350904351,-3.51049251049251
"595",-3.51027351027351,-3.51063051063051,-3.50989250989251,-3.51074451074451,-3.51024651024651,-3.51059151059151,-3.51012351012351,-3.51150051150051,-3.50911250911251,-3.51057351057351
"596",-3.51008451008451,-3.51065751065751,-3.50974550974551,-3.51047751047751,-3.51003651003651,-3.51020751020751,-3.50970050970051,-3.51162651162651,-3.50891150891151,-3.51046851046851
"597",-3.51030951030951,-3.51081351081351,-3.50991650991651,-3.51063351063351,-3.51045651045651,-3.51041751041751,-3.51003351003351,-3.51168051168051,-3.50912150912151,-3.51063951063951
"598",-3.51034251034251,-3.51094251094251,-3.50995850995851,-3.51048651048651,-3.51042051042051,-3.51044451044451,-3.51015651015651,-3.51189051189051,-3.50908850908851,-3.51064251064251
"599",-3.51043551043551,-3.51104751104751,-3.50993150993151,-3.51059151059151,-3.51048351048351,-3.51064851064851,-3.51029451029451,-3.51193251193251,-3.50928950928951,-3.51077751077751
"600",-3.51053151053151,-3.51091251091251,-3.51004851004851,-3.51074751074751,-3.51062151062151,-3.51088851088851,-3.51049251049251,-3.51180351180351,-3.50956850956851,-3.51072351072351
"601",-3.51058851058851,-3.51095451095451,-3.51024051024051,-3.51084951084951,-3.51074451074451,-3.51103851103851,-3.51040851040851,-3.51191751191751,-3.50937950937951,-3.51089151089151
"602",-3.51076851076851,-3.51098151098151,-3.51035751035751,-3.51093951093951,-3.51102351102351,-3.51138051138051,-3.51070851070851,-3.51190851190851,-3.50980250980251,-3.51100851100851
"603",-3.51087951087951,-3.51095751095751,-3.51060951060951,-3.51102651102651,-3.51108651108651,-3.51144651144651,-3.51085551085551,-3.51181251181251,-3.50993450993451,-3.51102351102351
"604",-3.51035151035151,-3.51072051072051,-3.50999450999451,-3.51051951051951,-3.51058251058251,-3.51062751062751,-3.51028551028551,-3.51162951162951,-3.50896550896551,-3.51068751068751
