,SPY
139,1.8100431585128263
140,1.8495692951557885
141,1.8486685525783741
142,1.8300231891896601
143,1.8722914050215422
144,1.8675578707973273
145,1.8706372634721902
146,1.8952634730146656
147,1.939045170757936
148,1.9381498214636395
149,1.742684953259186
150,1.7528121555903908
151,1.6969351347881911
152,1.6924650589851353
153,1.7055626688340908
154,1.716335163465601
155,1.7212788060885487
156,1.7292239004007115
157,1.7169289172750268
158,1.7156495990718668
159,1.718514931366144
160,1.7128683125963562
161,1.703219021520681
162,1.6951018678230412
163,1.694030864572369
164,1.6796966003892067
165,1.6218058958691017
166,1.6091335292105668
167,1.5231919810491945
168,1.531852144636332
169,1.5271488031123681
170,1.5334784103504262
171,1.5145402045902756
172,1.4621480230641737
173,1.459271657414547
174,1.4850545557430905
175,1.5024094714192415
176,1.516316390124075
177,1.517572639603486
178,1.523132839237178
179,1.5025185665524532
180,1.5015980963846687
181,1.5144516921634477
182,1.5160808147300031
183,1.5086722234184435
184,1.5173139632122457
185,1.5200466103863164
186,1.5335093161081659
187,1.5381280519284246
188,1.5318586737328133
189,1.5301735710102093
190,1.5282313875002274
191,1.5316038462549386
192,1.5311702286146556
193,1.5308491343182595
194,1.5105893869747433
195,1.5104347285011954
196,1.5072555426365852
197,1.497747863755876
198,1.498113869519102
199,1.4963263948413896
200,1.4878233394699691
201,1.4901963361569415
202,1.493615828004522
203,1.494337626769493
204,1.4808190414112232
205,1.4803880705096617
206,1.4936969576467618
207,1.4796315683850025
208,1.4759740564898038
209,1.4564905991312571
210,1.4611502765876594
211,1.4503580546568173
212,1.4079672969558032
213,1.3935758511331642
214,1.3937554865526636
215,1.3945989663659475
216,1.4018990470037807
217,1.417493975969819
218,1.4363722739551577
219,1.4358048319593308
220,1.4339084448658923
221,1.4357843182881425
222,1.444607556683195
223,1.4442354711593453
224,1.4502779020779144
225,1.4623835755162418
226,1.4645045418694735
227,1.4677523642251344
228,1.4638109047234593
229,1.475963750548317
230,1.4904778743277802
231,1.4921313839010963
232,1.4878438950165673
233,1.485463730958827
234,1.4806111140831035
235,1.4824106460457642
236,1.4583658016715617
237,1.4572770573715843
238,1.4679868851942501
239,1.4794060095016448
240,1.4820319019679573
241,1.4863175817788488
242,1.4838779810622782
243,1.4971729003025303
244,1.4977666131051137
245,1.492512009034499
246,1.497506456634028
247,1.4975344186530037
248,1.5012946435706453
249,1.4997158641119768
250,1.5081394402261594
251,1.516039318072444
252,1.5132656540492917
253,1.5255896937640046
254,1.5134037112159149
255,1.5169780868211546
256,1.5175672993370881
257,1.5191075054929115
258,1.5282794085317164
259,1.531394113163742
260,1.5283753107644316
261,1.5285171843686385
262,1.5379729690255317
263,1.5423088820250541
264,1.5434486702395134
265,1.5438420055409097
266,1.5519709691932349
267,1.550943496962418
268,1.5626336065599844
269,1.5646648972472121
270,1.5645926137347033
271,1.5683396763017754
272,1.570746906935483
273,1.5733184357611663
274,1.5784276897136351
275,1.5596488583685186
276,1.5554043609233759
277,1.5545792921886914
278,1.5601523066345635
279,1.5285728557989842
280,1.5207269885547703
281,1.1184505519065624
282,1.1122388653177495
283,0.7500554217324407
284,0.7448798703842385
285,0.8222640902715739
286,0.8636100917408385
287,0.8518933985590138
288,0.8758628705129468
289,0.8812334407741673
290,0.8753843249826332
291,0.9568956025475472
292,0.9750178711226454
293,0.972188253593913
294,1.0167698726934304
295,1.0280977955414983
296,1.0444353818195395
297,1.0566186615130846
298,1.0959759835543537
299,1.0958707202246387
300,1.0954078450288307
301,1.1032348860123875
302,1.1426487769097093
303,1.1424471039174477
304,1.1781281711762404
305,1.1875617646853698
306,1.2263989409223086
307,1.2170699671275997
308,1.2191268467370264
309,1.2193942406690894
310,1.2310294136329958
311,1.2304446356517929
312,1.237164538564457
313,1.236974771069299
314,1.277694615529299
315,1.317335872855665
316,1.3167821714557704
317,1.3329951917273775
318,1.3307926034678985
319,1.3448226777552463
320,1.3454559339936623
321,1.3707700739712436
322,1.3965727348988821
323,1.3996298082099656
324,1.405927985966855
325,1.4058746196963057
326,1.4061273122445073
327,1.427520785636034
328,1.4283170479586715
329,1.4279072748956878
330,1.4241782426654481
331,1.418602088346006
332,1.4321357145956881
333,1.4361716472296848
334,1.4447845225856781
335,1.4446842340714738
336,1.448170309741954
337,1.4315852563402132
338,1.444569472693047
339,1.4372563596782584
340,1.447603989037134
341,1.4474373216387448
342,1.4607241975852503
343,1.4783161053298954
344,1.469719663206206
345,1.4698415039617885
346,1.4745339375156163
347,1.4623842110552232
348,1.4614698252364633
349,1.4752465784056312
350,1.474780461711589
351,1.4761670139284888
352,1.4780786478365826
353,1.47545584076056
354,1.4780030841632197
355,1.4882369180884325
356,1.4904315522096567
357,1.5021325757322757
358,1.5056858375521642
359,1.5180972134760395
360,1.5185125207801775
361,1.5238471918644336
362,1.5250223083046421
363,1.537377103908284
364,1.5290623952421356
365,1.527615571557135
366,1.5263626392868446
367,1.5232596096404905
368,1.5237610710789795
369,1.5301470593306021
370,1.5302639285130226
371,1.536678675732901
372,1.543091890824826
373,1.547994693265764
374,1.5445630773103858
375,1.5450368718950358
376,1.5406779059401288
377,1.543079838987751
378,1.539570924525151
379,1.5356251173204782
380,1.5226710566037127
381,1.5240313685956153
382,1.5327975103502922
383,1.5295093826387074
384,1.6278169692293432
385,1.6051825279475906
386,1.626046398661174
387,1.6053977273520559
388,1.6090901895574916
389,1.6109139040497666
390,1.6039283066277221
391,1.6039834126365804
392,1.630549159091288
393,1.627177803078439
394,1.6258052618866259
395,1.6164449586960927
396,1.618382792561306
397,1.6105019631402229
398,1.6160360602964374
399,1.6138808689163398
400,1.6117647356225007
401,1.6164534703841582
402,1.6115346013828002
403,1.6097461283573011
404,1.6060479027021302
405,1.5987097034656017
406,1.5922828489044605
407,1.5848353958188
408,1.588226427046493
409,1.5906791875511317
410,1.5932770778056238
411,1.5960378130387198
412,1.60087646636498
413,1.5916491606878935
414,1.5917043080378335
415,1.5979938239081548
416,1.6085656210304933
417,1.6103801625956748
418,1.609870177370567
419,1.6173590867344956
420,1.6090882367450376
421,1.6121793588888522
422,1.6130134929437645
423,1.6273523191136974
424,1.6328920814328285
425,1.6339869937348794
426,1.6427964941055961
427,1.6406361496194677
428,1.615392773859412
429,1.610904166562932
430,1.6106410503368807
431,1.605314266661253
432,1.608673125350606
433,1.599005900774273
434,1.599982383548877
435,1.5832484469558494
